"","lon","lat"
"95",138.252924,36.204824
"96",-84.3879824,33.7489954
"97",-114.0708459,51.0486151
"98",-81.7728543,28.5494447
"99",-89.3985283,40.6331249
"100",-81.4678193,28.4743207
"101",-97.7428165,32.742923
"102",83.334056,17.758076
"103",-87.6297982,41.8781136
"104",-95.3698028,29.7604267
"105",-79.532157,43.8169837
"106",-95.712891,37.09024
"107",-76.6121893,39.2903848
"108",NA,NA
"109",-97.0855948,36.706981
"110",-99.6556653,19.2826098
"111",-74.0018987,40.719393
"112",-55.491477,-8.783195
"113",-81.7720522,34.0015232
"114",-90.0489801,35.1495343
"115",-95.712891,37.09024
"116",-118.2930663,34.0910444
"117",-122.6764816,45.5230622
"118",-108.153234,32.778651
"119",-74.1502007,40.5795317
"120",-87.9196785,43.0405846
"121",-72.5215009,41.7759301
"122",NA,NA
"123",-102.4107493,34.2331373
"124",151.2092955,-33.8688197
"125",-71.4774291,41.5800945
"126",-85.6680863,42.9633599
"127",-70.0364404,12.5170398
"128",-118.2436849,34.0522342
"129",-76.6121893,39.2903848
"130",-74.0059413,40.7127837
"131",NA,NA
"132",-117.5848025,33.952463
"133",NA,NA
"134",-95.712891,37.09024
"135",-97.330053,37.6871761
"136",-71.0602131,42.3782065
"137",-69.4454689,45.253783
"138",-76.5271659,42.0103519
"139",NA,NA
"140",-88.2039607,41.8847507
"141",-71.0588801,42.3600825
"142",144.963056,-37.813611
"143",-95.3698028,29.7604267
"144",-119.6981901,34.4208305
"145",-104.5229281,33.3945681
"146",-3.556791,51.485027
"147",-102.4107493,34.2331373
"148",-121.8863286,37.3382082
"149",-121.8863286,37.3382082
"150",-118.2436849,34.0522342
"151",-90.1994042,38.6270025
"152",-102.552784,23.634501
"153",-118.2436849,34.0522342
"154",-89.761545,35.1598391
"155",-1.479726,53.55263
"156",-74.4056612,40.0583238
"157",NA,NA
"158",-85.7584557,38.2526647
"159",-86.5804473,35.5174913
"160",-84.3879824,33.7489954
"161",-7.6920536,53.1423672
"162",-82.9000751,32.1656221
"163",-82.8001026,27.9658533
"164",-81.5157535,27.6648274
"165",-90.0715323,29.9510658
"166",-85.6023643,44.3148443
"167",133.775136,-25.274398
"168",-74.0059413,40.7127837
"169",-84.3879824,33.7489954
"170",23.1210305,37.9463179
"171",NA,NA
"172",-87.6297982,41.8781136
"173",NA,NA
"174",-114.6276916,32.6926512
"175",-97.1330683,33.2148412
"176",-87.6297982,41.8781136
"177",-78.6568942,37.4315734
"178",-85.6680863,42.9633599
"179",-84.3932312,33.8003947
"180",-71.3824374,42.4072107
"181",-91.531097,41.668221
"182",-122.3320708,47.6062095
"183",NA,NA
"184",153.1932534,-28.6104322
"185",-93.2009998,44.9374831
"186",-81.5157535,27.6648274
"187",-99.9018131,43.9695148
"188",-86.3566659,40.7544843
"189",22.937506,-30.559482
"190",-35.200916,-5.7792569
"191",-95.712891,37.09024
"192",-74.0059413,40.7127837
"193",-93.2650108,44.977753
"194",-97.3307658,32.7554883
"195",-102.552784,23.634501
"196",-79.0192997,35.7595731
"197",-74.072092,4.7109886
"198",-99.133208,19.4326077
"199",-76.6412712,39.0457549
"200",-73.9441579,40.6781784
"201",NA,NA
"202",106.6536859,-6.1275118
"203",-95.712891,37.09024
"204",-118.2436849,34.0522342
"205",NA,NA
"206",-117.3961564,33.9533487
"207",-95.712891,37.09024
"208",-91.506,44.7966
"209",-97.1060202,32.940444
"210",-106.346771,56.130366
"211",-83.0457538,42.331427
"212",-93.097702,41.8780025
"213",-0.9847132,50.8518324
"214",NA,NA
"215",-0.2376744,51.8097823
"216",NA,NA
"217",NA,NA
"218",-96.7969879,32.7766642
"219",10.451526,51.165691
"220",-95.3656107,29.7601082
"221",NA,NA
"222",-43.8947172,-19.8096435
"223",-117.8108201,33.6400598
"224",-77.0368707,38.9071923
