"","lat","lon","total"
"320",29.9305243,-90.0749949,1
"321",29.9365048,-90.0776554,2
"322",29.948954,-90.0743769,1
"323",29.9510658,-90.0715323,38
"324",29.9554755,-90.0686111,1
"325",29.9840922,-90.1528519,2
"326",29.9984584,-90.1642918,1
"327",30.0006167,-90.188701,1
"328",30.0036795,-90.4572531,1
"329",30.0066205,-90.1055405,1
"330",30.0077772,-95.6425136,1
"331",30.0110809,-90.7197143,1
"332",30.0137509,-89.9932519,1
"333",30.0219684,-89.9816746,1
"334",30.0289167,-89.9836611,1
"335",30.053694,-90.69356,1
"336",30.0799405,-95.4171601,2
"337",30.080174,-94.1265562,3
"338",30.0971621,-95.6160549,1
"339",30.097643,-97.307347,2
"340",30.1588129,-85.6602058,1
"341",30.161776,-81.5406516,1
"342",30.1658207,-95.4612625,9
"343",30.1983807,71.4687028,1
"344",30.2240897,-92.0198427,2
"345",30.2265949,-93.2173758,1
"346",30.227241,-97.7804546,1
"347",30.2400058,-81.3852595,1
"348",30.241353,-98.756705,1
"349",30.267153,-97.7430608,44
"350",30.2751945,-89.7811745,1
"351",30.2838958,-95.4477966,1
"352",30.2841224,-81.3961338,6
"353",30.3118769,-95.4560512,3
"354",30.3321838,-81.655651,5
"355",30.34132,-95.0854885,1
"356",30.3447314,-97.7114769,1
"357",30.3500511,-81.6035062,2
"358",30.3582506,-90.0656311,1
"359",30.375321,69.345116,3
"360",30.3931168,-82.3017728,1
"361",30.3960318,-88.8853078,2
"362",30.4173348,-91.1420115,1
"363",30.421309,-87.2169149,2
"364",30.4382559,-84.2807329,1
"365",30.4393696,-97.6200043,1
"366",30.4418778,-84.2984889,1
"367",30.458072,-84.22285,1
"368",30.4582829,-91.1403196,5
"369",30.4765846,-91.0836354,1
"370",30.4791229,-84.0220785,2
"371",30.5039849,-90.6694787,1
"372",30.5043578,-90.5823138,1
"373",30.5788055,-97.8530686,1
"374",30.5864848,-91.4803537,1
"375",30.5993603,-87.1610807,1
"376",30.627977,-96.3344068,5
"377",30.6743643,-96.3699632,1
"378",30.6846637,-83.1828732,1
"379",30.6953657,-88.0398912,2
"380",30.7046486,76.7178726,2
"381",30.711029,-94.9329898,2
"382",30.7169886,-95.5486328,1
"383",30.7235263,-95.5507771,5
"384",30.7333148,76.7794179,1
"385",30.7918559,-85.6796533,1
"386",30.820742,-88.0705556,1
"387",30.9842977,-91.9623327,18
"388",31.0982344,-97.342782,1
"389",31.1171194,-97.7277959,5
"390",31.1363315,-97.7797049,1
"391",31.1499528,-81.4914894,1
"392",31.1819901,-105.359231,1
"393",31.183817,-81.4864072,1
"394",31.1918878,-97.8070986,1
"395",31.2000924,29.9187387,1
"396",31.2232313,-85.3904888,1
"397",31.3238993,34.887783,1
"398",31.351284,-85.3421559,1
"399",31.416337,-100.3354289,1
"400",31.4504629,-83.5084973,1
"401",31.4549785,-100.4744012,1
"402",31.4637723,-100.4370375,1
"403",31.5355376,-97.1188299,1
"404",31.549333,-97.1466695,5
